"QDate","FwdYM","FwdPrice","SpotPrice","BCHMark","MMDiff","QYM"
2006-05-08,2006-05-15,64.93,64.93,"DUBAI",0,2006-05-15
2006-05-08,2006-06-15,66.22,64.93,"DUBAI",1,2006-05-15
2006-05-08,2006-07-15,66.82,64.93,"DUBAI",2,2006-05-15
2006-05-08,2006-08-15,67.57,64.93,"DUBAI",3,2006-05-15
2006-05-08,2006-09-15,67.57,64.93,"DUBAI",4,2006-05-15
2006-05-08,2006-10-15,68.37,64.93,"DUBAI",5,2006-05-15
2006-05-08,2006-11-15,68.37,64.93,"DUBAI",6,2006-05-15
2006-05-08,2006-12-15,68.37,64.93,"DUBAI",7,2006-05-15
2006-05-08,2007-01-15,68.69,64.93,"DUBAI",8,2006-05-15
2006-05-08,2007-02-15,68.69,64.93,"DUBAI",9,2006-05-15
2006-05-08,2007-03-15,68.69,64.93,"DUBAI",10,2006-05-15
2006-05-09,2006-05-15,64.85,64.85,"DUBAI",0,2006-05-15
2006-05-09,2006-06-15,65.7,64.85,"DUBAI",1,2006-05-15
2006-05-09,2006-07-15,66.28,64.85,"DUBAI",2,2006-05-15
2006-05-09,2006-08-15,67.045,64.85,"DUBAI",3,2006-05-15
2006-05-09,2006-09-15,67.045,64.85,"DUBAI",4,2006-05-15
2006-05-09,2006-10-15,67.92,64.85,"DUBAI",5,2006-05-15
2006-05-09,2006-11-15,67.92,64.85,"DUBAI",6,2006-05-15
2006-05-09,2006-12-15,67.92,64.85,"DUBAI",7,2006-05-15
2006-05-09,2007-01-15,68.34,64.85,"DUBAI",8,2006-05-15
2006-05-09,2007-02-15,68.34,64.85,"DUBAI",9,2006-05-15
2006-05-09,2007-03-15,68.34,64.85,"DUBAI",10,2006-05-15
2006-05-10,2006-05-15,65.77,65.77,"DUBAI",0,2006-05-15
2006-05-10,2006-06-15,66.2,65.77,"DUBAI",1,2006-05-15
2006-05-10,2006-07-15,66.81,65.77,"DUBAI",2,2006-05-15
2006-05-10,2006-08-15,67.59,65.77,"DUBAI",3,2006-05-15
2006-05-10,2006-09-15,67.59,65.77,"DUBAI",4,2006-05-15
2006-05-10,2006-10-15,68.52,65.77,"DUBAI",5,2006-05-15
2006-05-10,2006-11-15,68.52,65.77,"DUBAI",6,2006-05-15
2006-05-10,2006-12-15,68.52,65.77,"DUBAI",7,2006-05-15
2006-05-10,2007-01-15,69,65.77,"DUBAI",8,2006-05-15
2006-05-10,2007-02-15,69,65.77,"DUBAI",9,2006-05-15
2006-05-10,2007-03-15,69,65.77,"DUBAI",10,2006-05-15
2006-05-11,2006-05-15,67.25,67.25,"DUBAI",0,2006-05-15
2006-05-11,2006-06-15,67.85,67.25,"DUBAI",1,2006-05-15
2006-05-11,2006-07-15,68.44,67.25,"DUBAI",2,2006-05-15
2006-05-11,2006-08-15,69.205,67.25,"DUBAI",3,2006-05-15
