"QDate","FwdMonth","CONTOUR_D","FwdYM","CONTOUR_M","CORR_M","SLOPE_D","FwdType"
2008-01-02,0,0,"2008-01",,,,"WTI _ 00"
2008-01-02,1,0.350000000000009,"2008-02",,,,"WTI _ 01"
2008-01-02,2,0.900000000000006,"2008-03",,,,"WTI _ 02"
2008-01-02,3,81.8353846153846,"2008-04",,,,"WTI _ 03"
2008-01-02,4,81.8353846153846,"2008-05",,,,"WTI _ 04"
2008-01-02,5,2.06,"2008-06",,,,"WTI _ 05"
2008-01-02,6,3.67,"2008-07",,,,"WTI _ 06"
2008-01-02,7,3.67,"2008-08",,,,"WTI _ 07"
2008-01-02,8,82.0830769230769,"2008-09",,,,"WTI _ 08"
2008-01-02,9,82.3,"2008-10",,,,"WTI _ 09"
2008-01-02,10,5.08,"2008-11",,,,"WTI _ 10"
2008-01-02,11,5.08,"2008-12",,,,"WTI _ 11"
2008-01-03,0,0,"2008-01",,,,"WTI _ 00"
2008-01-03,1,83.9446153846154,"2008-02",,,,"WTI _ 01"
2008-01-03,2,84.0369230769231,"2008-03",,,,"WTI _ 02"
2008-01-03,3,2.23,"2008-04",,,,"WTI _ 03"
2008-01-03,4,2.23,"2008-05",,,,"WTI _ 04"
2008-01-03,5,2.23,"2008-06",,,,"WTI _ 05"
2008-01-03,6,84.5030769230769,"2008-07",,,,"WTI _ 06"
2008-01-03,7,84.5030769230769,"2008-08",,,,"WTI _ 07"
2008-01-03,8,4,"2008-09",,,,"WTI _ 08"
2008-01-03,9,5.58,"2008-10",,,,"WTI _ 09"
2008-01-03,10,5.58,"2008-11",,,,"WTI _ 10"
2008-01-03,11,84.7461538461538,"2008-12",,,,"WTI _ 11"
2008-01-04,0,0,"2008-01",,,,"WTI _ 00"
2008-01-04,1,-83.6153846153846,"2008-02",,,,"WTI _ 01"
2008-01-04,2,-83.0953846153846,"2008-03",,,,"WTI _ 02"
2008-01-04,3,-82.0753846153846,"2008-04",,,,"WTI _ 03"
2008-01-04,4,0.28923076923077,"2008-05",,,,"WTI _ 04"
2008-01-04,5,0.28923076923077,"2008-06",,,,"WTI _ 05"
2008-01-04,6,-80.5653846153846,"2008-07",,,,"WTI _ 06"
2008-01-04,7,-80.5653846153846,"2008-08",,,,"WTI _ 07"
2008-01-04,8,-80.5653846153846,"2008-09",,,,"WTI _ 08"
2008-01-04,9,0.743076923076924,"2008-10",,,,"WTI _ 09"
2008-01-04,10,0.743076923076924,"2008-11",,,,"WTI _ 10"
2008-01-04,11,-79.1253846153846,"2008-12",,,,"WTI _ 11"
2008-01-07,0,0,"2008-01",,,,"WTI _ 00"
2008-01-07,1,0.269999999999996,"2008-02",,,,"WTI _ 01"
2008-01-07,2,82.3492307692308,"2008-03",,,,"WTI _ 02"
2008-01-07,3,82.4769230769231,"2008-04",,,,"WTI _ 03"
2008-01-07,4,1.5,"2008-05",,,,"WTI _ 04"
2008-01-07,5,1.5,"2008-06",,,,"WTI _ 05"
2008-01-07,6,2.73,"2008-07",,,,"WTI _ 06"
2008-01-07,7,82.6661538461538,"2008-08",,,,"WTI _ 07"
2008-01-07,8,82.6661538461538,"2008-09",,,,"WTI _ 08"
